"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"930636","public","sarnia","8","86","21","2","9","2"
"938696","public","ridgetown","5","67","30","0","10","15"
"948446","public","tilbury","45","60","15","0","10","25"
"950521","public","wallaceburg","2","57","35","0","19","13"
"893773","public","kingston","11","73","31","0","8","2"
"909181","public","odessa","0","74","40","0","5","0"
"911135","public","kingston","6","85","27","0","8","2"
"930348","public","sharbot lake","0","62","50","0","20","10"
"920592","public","kingston","4","66","29","0","5","2"
"924130","public","kingston","21","78","34","0","23","6"
"927902","public","napanee","2","64","34","0","16","4"
"890596","public","cloyne","0","67","50","0","30","20"
"946494","public","sydenham","1","72","34","0","6","2"
"695734","catholic","london","28","85","9","3","24","9"
"704253","catholic","strathroy","0","67","25","0","10","5"
"724513","catholic","london","19","72","17","1","26","15"
"733032","catholic","london","22","89","11","1","16","5"
"752827","catholic","london","15","77","19","0","21","8"
"810916","catholic","st. thomas","2","81","20","1","10","6"
"831190","catholic","woodstock","3","71","26","0","9","7"
"854280","catholic","london","5","89","15","1","10","2"
"763602","catholic","london","19","80","13","1","18","3"
"943630","public","south river","2","69","50","0","21","9"
"901385","public","north bay","5","72","28","0","15","4"
"925179","public","mattawa","0","55","40","0","20","0"
"946109","public","sturgeon falls","5","53","40","0","15","10"
"934275","public","parry sound","1","61","39","0","15","6"
"951463","public","north bay","4","68","31","0","17","4"
"690791","catholic","grimsby","4","86","20","1","8","2"
"703796","catholic","st catharines","15","76","24","1","18","8"
"715247","catholic","st catharines","18","77","18","0","16","6"
"726087","catholic","port colborne","6","84","23","0","17","5"
"740195","catholic","welland","7","83","23","0","16","3"
"790818","catholic","st catharines","18","82","16","2","16","5"
"773662","catholic","niagara falls","24","89","17","0","17","6"
"761710","catholic","niagara falls","14","75","19","0","14","5"
"763659","catholic","north bay","0","78","32","0","14","5"
"740454","catholic","timmins","5","69","20","0","15","5"
"724777","catholic","kanata","11","92","23","0","7","2"
"724742","catholic","kanata","20","85","24","0","8","1"
"721085","catholic","ottawa","19","83","25","0","28","9"
"689181","catholic","gloucester","42","71","19","0","27","7"
"809020","catholic","ottawa","35","74","25","0","35","15"
"759970","catholic","stittsville","4","89","25","0","5","0"
"764914","catholic","nepean","18","86","25","0","9","3"
"864331","catholic","manotick","4","83","28","0","5","1"
"704873","catholic","orleans","16","92","24","0","8","3"
"816132","catholic","ottawa","44","81","16","0","33","15"
"689203","catholic","ottawa","20","85","25","0","20","5"
"843296","catholic","orleans","12","79","22","0","6","1"
"847313","catholic","ottawa","31","76","22","0","18","8"
"843510","catholic","gloucester","27","87","19","0","14","4"
"733288","catholic","nepean","23","88","21","0","9","2"
"890243","public","kanata","23","86","24","0","7","1"
"894362","public","nepean","52","81","16","15","19","7"
"896705","public","ottawa","55","76","23","1","22","9"
"906514","public","orleans","21","85","28","1","7","3"
"898317","public","ottawa","15","94","20","3","14","4"
"902586","public","gloucester","41","98","8","15","11","1"
"906484","public","kanata","41","94","18","1","10","1"
"912697","public","ottawa","19","85","23","7","14","5"
